Age x,Duration 0,Duration 1,Durations 2+
0,0.00058000,,0.00073000
1,0.00054000,0.00061000,0.00068000
2,0.00050000,0.00057000,0.00063000
3,0.00046000,0.00052000,0.00058000
4,0.00042000,0.00048000,0.00053000
5,0.00039000,0.00044000,0.00049000
6,0.00036000,0.00041000,0.00045000
7,0.00034000,0.00038000,0.00042000
8,0.00032000,0.00036000,0.00040000
9,0.00030000,0.00034000,0.00038000
10,0.00030000,0.00033000,0.00037000
11,0.00030000,0.00033000,0.00037000
12,0.00030000,0.00033000,0.00037000
13,0.00032000,0.00036000,0.00040000
14,0.00038000,0.00042000,0.00047000
15,0.00049000,0.00055000,0.00061000
16,0.00065000,0.00073000,0.00081000
17,0.00083859,0.00095880,0.00105538
18,0.00077522,0.00089716,0.00099681
19,0.00071637,0.00083951,0.00094140
20,0.00066228,0.00078611,0.00088947
21,0.00061316,0.00073724,0.00084134
22,0.00056924,0.00069319,0.00079739
23,0.00053079,0.00065429,0.00075801
24,0.00049804,0.00062087,0.00072366
25,0.00047129,0.00059328,0.00069481
26,0.00045080,0.00057193,0.00067201
27,0.00043688,0.00055720,0.00065582
28,0.00042983,0.00054954,0.00064689
29,0.00042998,0.00054940,0.00064592
30,0.00043767,0.00055728,0.00065368
31,0.00045326,0.00057371,0.00067101
32,0.00047711,0.00059924,0.00069882
33,0.00050961,0.00063446,0.00073813
34,0.00055117,0.00068001,0.00079004
35,0.00060222,0.00073655,0.00085577
36,0.00066320,0.00080481,0.00093663
37,0.00073457,0.00088554,0.00103409
38,0.00081682,0.00097956,0.00114973
39,0.00091046,0.00108772,0.00128528
40,0.00101601,0.00121095,0.00144267
41,0.00113404,0.00135021,0.00162396
42,0.00126512,0.00150654,0.00183145
43,0.00140986,0.00168105,0.00206763
44,0.00156889,0.00187490,0.00233523
45,0.00174288,0.00208935,0.00263723
46,0.00193251,0.00232571,0.00297691
47,0.00213851,0.00258539,0.00335783
48,0.00236163,0.00286989,0.00378388
49,0.00260266,0.00318079,0.00425932
50,0.00286243,0.00351979,0.00478880
51,0.00314178,0.00388866,0.00537740
52,0.00344162,0.00428931,0.00603064
53,0.00376288,0.00472375,0.00675456
54,0.00410654,0.00519413,0.00755572
55,0.00447362,0.00570271,0.00844128
56,0.00486517,0.00625190,0.00941902
57,0.00528231,0.00684424,0.01049742
58,0.00572620,0.00748245,0.01168566
59,0.00619802,0.00816938,0.01299373
60,0.00669904,0.00890805,0.01443246
61,0.00723057,0.00970168,0.01601356
62,0.00779397,0.01055365,0.01774972
63,0.00839065,0.01146756,0.01965464
64,0.00902209,0.01244719,0.02174310
65,0.00968982,0.01349653,0.02403101
66,0.01039545,0.01461982,0.02653550
67,0.01114064,0.01582150,0.02927491
68,0.01192710,0.01710628,0.03226890
69,0.01275665,0.01847909,0.03553846
70,0.01363115,0.01994514,0.03910594
71,0.01455252,0.02150990,0.04299507
72,0.01552279,0.02317912,0.04723096
73,0.01654404,0.02495883,0.05184008
74,0.01761844,0.02685536,0.05685022
75,0.01874822,0.02887534,0.06229041
76,0.01993572,0.03102569,0.06819083
77,0.02118334,0.03331366,0.07458263
78,0.02249357,0.03574679,0.08149779
79,0.02386900,0.03833295,0.08896883
80,0.02531227,0.04108032,0.09702855
81,,0.04399741,0.10570968
82,,,0.11504443
83,,,0.12506403
84,,,0.13579820
85,,,0.14727448
86,,,0.15951762
87,,,0.17254883
88,,,0.18638498
89,,,0.20103786
90,,,0.21651335
91,,,0.23281066
92,,,0.24992160
93,,,0.26782990
94,,,0.28651074
95,,,0.30593028
96,,,0.32604550
97,,,0.34680421
98,,,0.36814521
99,,,0.38999883
100,,,0.41228762
101,,,0.43492729
102,,,0.45782791
103,,,0.48089531
104,,,0.50403251
105,,,0.52714144
106,,,0.55012452
107,,,0.57288631
108,,,0.59533510
109,,,0.61738430
110,,,0.63895372
111,,,0.65997060
112,,,0.68037042
113,,,0.70009748
114,,,0.71910519
115,,,0.73735617
116,,,0.75482210
117,,,0.77148339
118,,,0.78732874
119,,,0.80235446
120,,,0.81656383
121,,,1.00000000
